State,Room size,weight,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021
ME,3bedroom,429,192116.7148,192518.4163,192902.6057,193284.1904,193657.8894,194029.7082,194396.4703,194758.2185,195114.5291,195461.7993,195802.0638,196129.87
ME,4bedroom,366,234475.7349,234862.0784,235253.5835,235641.6913,236030.7809,236412.2697,236789.5927,237158.9412,237519.1886,237872.1432,238213.1328,238546.4626
ME,5bedroomOrMore,265,303526.6234,303847.1505,304152.0341,304455.1176,304754.0208,305048.0728,305338.7753,305620.8555,305899.7825,306173.6045,306443.8625,306709.4332
ME,AllHomes,449,186174.6069,186479.3211,186765.8946,187047.2363,187303.5065,187535.3436,187753.2706,187944.5512,188108.582,188253.9117,188372.9642,188464.8995
MI,1bedroom,556,114334.1448,114534.8495,114851.7822,115030.858,115322.0952,115504.059,115766.0743,115930.9075,116185.3328,116335.9898,116563.0572,116714.5786
MI,2bedroom,817,125354.8337,125690.4963,126009.4799,126319.0081,126613.5525,126900.8431,127175.5542,127439.0952,127695.1795,127940.0196,128175.5084,128403.7752
MI,3bedroom,843,163461.3137,163883.4781,164289.1582,164677.7213,165045.0785,165399.2532,165739.5759,166065.2394,166383.5237,166690.6948,166986.3876,167274.8573
MI,4bedroom,804,209564.6602,209983.1625,210385.1256,210777.9204,211161.2294,211534.0216,211889.0135,212223.1661,212541.0064,212846.8962,213147.0668,213441.7466
MI,5bedroomOrMore,723,270485.4041,270911.6461,271323.0339,271721.0245,272105.2384,272473.9916,272828.0931,273169.4863,273498.3485,273813.6431,274115.8761,274406.7611
MI,AllHomes,846,165151.5887,165545.5433,165907.9105,166250.5961,166593.8291,166937.0112,167280.0311,167616.4738,167930.4841,168220.4289,168486.2371,168732.1779
MN,1bedroom,508,158874.4092,159164.0414,159439.274,159703.1192,159972.2274,160237.7867,160499.1585,160742.5554,160971.5118,161185.7601,161397.1323,161606.6521
MN,2bedroom,785,159818.0518,160146.2445,160454.4203,160750.0528,161030.1285,161300.7762,161566.6437,161823.0764,162075.5747,162314.7636,162545.8282,162765.9023
MN,3bedroom,834,192474.4691,192795.4227,193105.548,193405.4988,193696.3294,193976.2142,194246,194505.5058,194756.0476,194998.8243,195233.6714,195460.6964
MN,4bedroom,782,236373.0428,236714.1115,237040.3881,237356.7352,237662.4857,237960.7838,238249.1926,238528.5717,238797.1844,239057.125,239308.3184,239552.5463
MN,5bedroomOrMore,616,307087.8574,307463.5283,307822.2051,308171.0339,308511.8126,308845.0898,309169.6469,309483.9551,309787.8068,310082.2473,310368.7147,310648.0029
MN,AllHomes,892,190673.7986,190961.0074,191239.8982,191515.0408,191790.8068,192064.601,192331.3474,192584.7888,192821.8651,193043.8004,193255.7549,193463.9407
MO,1bedroom,472,102471.5632,102551.2616,102631.6808,102715.2049,102799.4188,102877.782,102949.4834,103018.0273,103087.4832,103159.3074,103229.7999,103295.4774
MO,2bedroom,818,106913.0658,107028.7344,107130.1948,107221.5488,107333.9774,107433.2133,107526.4199,107617.5588,107701.6407,107799.3019,107885.356,107962.7027
MO,3bedroom,905,147102.1031,147234.814,147344.5375,147432.676,147541.9568,147662.0282,147753.8134,147834.7,147932.8529,148037.2784,148118.3941,148189.2912
MO,4bedroom,764,193027.24,193192.6927,193168.1297,193333.2746,193347.7233,193426.1252,193541.0567,193528.4815,193694.3266,193670.8524,193788.2961,193845.0263
MO,5bedroomOrMore,535,260961.657,261141.2363,261262.8586,261373.7498,261537.5398,261665.3013,261757.9177,261916.9231,262030.7214,262119.378,262257.0633,262371.0526
MO,AllHomes,1005,141733.7685,141729.9753,141728.3609,141700.1479,141690.0582,141692.5894,141680.8792,141664.3059,141653.3996,141655.7643,141644.6865,141629.2855
MS,1bedroom,117,85618.74613,85678.29131,86067.17663,85984.90374,86353.76008,86274.2479,86491.98541,86518.4159,86537.4037,86670.98752,86551.66785,86703.18006
MS,2bedroom,251,86059.95491,86178.8395,86283.62822,86420.56523,86560.25804,86676.86724,86791.6283,86907.54673,87031.82416,87150.21973,87261.07875,87372.37422
MS,3bedroom,311,117620.7413,117839.908,118103.8949,118383.1397,118596.4066,118783.7051,119012.51,119266.9062,119480.3551,119647.7637,119840.5708,120070.3681
MS,4bedroom,280,199542.7211,199995.066,199842.2893,200038.3185,199769.2378,199984.3526,199768.9041,199959.8139,199778.2231,199970.27,199788.2184,199956.3065
MS,5bedroomOrMore,178,231616.7036,231792.6596,231811.5672,231852.6308,231815.3739,231792.1429,231793.6976,231788.5218,231808.5248,231806.7725,231808.1697,231805.0863
MS,AllHomes,337,113207.7619,113408.4438,113597.6123,113783.7302,113924.8712,114066.7926,114224.4133,114374.1387,114523.6597,114660.0465,114782.1955,114907.0412
MT,1bedroom,178,213904.0773,214552.162,215169.4543,215773.4817,216343.3696,216888.1641,217406.9014,217904.1351,218384.1054,218839.6033,219279.083,219693.7654
MT,2bedroom,206,224627.8925,225444.3346,226275.3552,227057.3216,227805.5595,228586.7277,229342.0534,230059.7674,230779.293,231484.7876,232174.6111,232855.8311
MT,3bedroom,218,276962.8447,277954.0267,278993.2742,280069.699,281102.6218,282140.5312,283121.8229,284122.5925,285150.0556,286189.2622,287239.3627,288244.999
MT,4bedroom,196,332219.3637,333583.588,335017.5143,336549.7383,338093.1955,339517.5331,340897.7039,342392.2461,343934.642,345381.395,346757.6102,348202.5486
MT,5bedroomOrMore,157,393118.9479,394403.8445,395850.6631,397051.7023,398349.9076,399631.6073,400862.4439,402101.9232,403306.0757,404511.4544,405686.9013,406854.128
MT,AllHomes,231,259562.0428,260532.6793,261552.6465,262479.4461,263380.2877,264349.6992,265281.6273,266166.571,267100.5241,268023.4145,268891.3228,269789.6905
NC,1bedroom,457,121923.4401,122129.8365,122298.9747,122456.5155,122621.7779,122766.1904,122891.7212,123023.2486,123146.3097,123248.6038,123351.7594,123454.9799
NC,2bedroom,709,126218.3806,126515.2247,126804.2669,127056.0395,127310.2307,127556.5463,127781.3895,127985.4441,128194.7397,128381.3168,128552.0922,128713.2927
